BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
6	84	8	7565	1	4	4	0
6	85	1	1115	1	2	2	0
6	85	2	3864	1	3	3	0
6	85	3	4464	1	1	1	0
6	85	4	5179	1	4	4	0
6	85	5	5963	1	3	3	0
6	85	6	6414	1	1	1	0
6	85	7	7096	1	2	2	0
6	85	8	7447	1	4	4	0
6	86	1	932	1	2	2	0
6	86	2	4363	1	3	3	0
6	86	3	4781	1	1	1	0
6	86	4	5230	1	4	4	0
6	86	5	6097	1	3	3	0
6	86	6	6781	1	1	1	0
6	86	7	7212	1	2	2	0
6	86	8	7629	1	4	4	0
5	87	1	1831	1	3	3	1
5	87	2	4431	1	4	4	1
5	87	3	5447	1	2	2	1
5	87	4	5847	1	1	1	1
5	87	5	6548	1	3	3	1
5	87	6	8281	1	2	2	1
5	87	7	9263	1	4	4	1
5	87	8	9645	1	1	1	1
6	88	1	649	1	2	2	0
6	88	2	3199	1	3	3	0
6	88	3	3684	1	1	1	0
6	88	4	4315	1	4	4	0
6	88	5	4881	0	3	2	0
6	88	6	5849	1	1	1	0
6	88	7	6349	1	2	2	0
6	88	8	6881	1	4	4	0
6	89	1	1249	1	2	2	0
6	89	2	3682	1	3	3	0
6	89	3	4497	1	1	1	0
6	89	4	5466	1	4	4	0
6	89	5	6332	1	3	3	0
6	89	6	6880	1	1	1	0
6	89	7	7365	1	2	2	0
6	89	8	7963	1	4	4	0
7	90	1	1532	1	2	2	0
7	90	2	4481	1	3	3	0
7	90	3	4898	1	1	1	0
7	90	4	5566	1	4	4	0
7	90	5	6930	1	3	3	0
7	90	6	7514	1	1	1	0
7	90	7	7998	1	2	2	0
7	90	8	8582	1	4	4	0
5	91	1	2080	1	3	3	1
5	91	2	4815	1	4	4	1
5	91	3	5380	1	2	2	1
5	91	4	5831	1	1	1	1
5	91	5	6562	1	3	3	1
5	91	6	7163	1	2	2	1
5	91	7	7796	1	4	4	1
5	91	8	8178	1	1	1	1
7	92	1	1083	1	2	2	0
7	92	2	3465	1	3	3	0
7	92	3	3999	1	1	1	0
7	92	4	5117	1	4	4	0
7	92	5	5798	1	3	3	0
7	92	6	6482	1	1	1	0
7	92	7	7582	1	2	2	0
7	92	8	8764	1	4	4	0
6	93	1	332	0	1	4	2
6	93	2	3817	1	3	3	2
6	93	3	4367	1	4	4	2
6	93	4	4865	1	2	2	2
6	93	5	6049	1	4	4	2
6	93	6	6614	1	1	1	2
6	93	7	7232	0	3	4	2
6	93	8	8248	1	2	2	2
7	94	1	647	1	2	2	0
7	94	2	3163	1	3	3	0
7	94	3	3780	1	1	1	0
7	94	4	4582	1	4	4	0
7	94	5	5663	1	3	3	0
7	94	6	6513	1	1	1	0
7	94	7	6980	1	2	2	0
7	94	8	7545	1	4	4	0
7	95	1	1033	1	2	2	0
7	95	2	3749	1	3	3	0
7	95	3	4198	1	1	1	0
7	95	4	4766	1	4	4	0
7	95	5	5581	1	3	3	0
7	95	6	6049	1	1	1	0
7	95	7	6898	1	2	2	0
7	95	8	7433	1	4	4	0
7	96	1	863	1	2	2	0
7	96	2	3680	1	3	3	0
7	96	3	4230	1	1	1	0
7	96	4	4697	1	4	4	0
7	96	5	5363	0	3	2	0
7	96	6	6147	1	1	1	0
7	96	7	6796	1	2	2	0
7	96	8	7246	1	4	4	0
7	97	1	981	1	1	1	2
7	97	2	3549	0	2	3	2
7	97	3	4715	1	4	4	2
7	97	4	5548	1	1	1	2
7	97	5	7381	1	3	3	2
7	97	6	8213	1	4	4	2
7	97	7	8912	1	2	2	2
7	97	8	9446	0	3	4	2
7	98	1	1032	1	2	2	0
7	98	2	4181	1	3	3	0
7	98	3	5398	1	1	1	0
7	98	4	6149	1	4	4	0
7	98	5	6982	1	3	3	0
7	98	6	7879	1	1	1	0
7	98	7	8748	0	2	3	0
7	98	8	9514	1	4	4	0
5	99	1	3264	1	3	3	1
5	99	2	5946	1	4	4	1
5	99	3	6514	1	2	2	1
5	99	4	6912	1	1	1	1
5	99	5	7462	1	3	3	1
5	99	6	7929	1	2	2	1
5	99	7	9246	1	4	4	1
5	99	8	9694	1	1	1	1
5	100	1	1183	1	3	3	1
5	100	2	4384	0	4	2	1
5	100	3	4848	0	2	1	1
5	100	4	5448	0	1	3	1
5	100	5	6398	0	3	2	1
5	100	6	7282	0	2	4	1
5	100	7	7680	0	4	1	1
5	100	8	8548	1	1	1	1
7	101	1	2213	1	2	2	0
7	101	2	4648	1	3	3	0
7	101	3	5114	1	1	1	0
7	101	4	5564	1	4	4	0
7	101	5	6248	1	3	3	0
7	101	6	6931	1	1	1	0
7	101	7	7562	1	2	2	0
7	101	8	8179	1	4	4	0
7	102	1	850	1	2	2	2
7	102	2	3332	1	3	3	2
7	102	3	4483	1	1	1	2
7	102	4	4999	1	4	4	2
7	102	5	5749	1	3	3	2
7	102	6	6333	1	1	1	2
7	102	7	7014	1	2	2	2
7	102	8	7532	1	4	4	2
