	BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
333	5	69	2	564	1	1	1	0
334	5	69	3	1054	1	3	3	0
335	5	69	4	1389	1	2	2	0
336	5	69	5	1799	1	4	4	0
337	5	70	1	276	1	4	4	0
338	5	70	2	573	1	1	1	0
339	5	70	3	1029	1	3	3	0
340	5	70	4	1579	1	2	2	0
341	5	70	5	2097	1	4	4	0
342	5	71	1	247	1	4	4	0
343	5	71	2	498	1	1	1	0
344	5	71	3	943	1	3	3	0
345	5	71	4	1241	1	2	2	0
346	5	71	5	1803	1	4	4	0
347	5	72	1	253	1	4	4	0
348	5	72	2	547	1	1	1	0
349	5	72	3	942	1	3	3	0
350	5	72	4	1264	1	2	2	0
351	5	72	5	1637	1	4	4	0
352	5	73	1	267	1	4	4	0
353	5	73	2	493	1	1	1	0
354	5	73	3	860	1	3	3	0
355	5	73	4	1206	1	2	2	0
356	5	73	5	1643	1	4	4	0
357	5	74	1	305	1	4	4	0
358	5	74	2	947	1	1	1	0
359	5	74	3	1478	1	3	3	0
360	5	74	4	2003	1	2	2	0
361	5	74	5	2465	1	4	4	0
362	5	75	1	195	1	4	4	0
363	5	75	2	556	1	1	1	0
364	5	75	3	1030	1	3	3	0
365	5	75	4	1331	1	2	2	0
366	5	75	5	1779	1	4	4	0
367	5	76	1	278	1	4	4	0
368	5	76	2	629	1	1	1	0
369	5	76	3	1060	1	3	3	0
370	5	76	4	1398	1	2	2	0
371	5	76	5	1756	1	4	4	0
372	5	77	1	291	1	4	4	0
373	5	77	2	604	1	1	1	0
374	6	78	1	1373	1	4	4	0
375	6	78	2	1668	1	1	1	0
376	6	78	3	2080	1	3	3	0
377	6	78	4	2453	1	2	2	0
378	6	78	5	2804	1	4	4	0
379	6	79	1	283	1	4	4	0
380	6	79	2	531	1	1	1	0
381	6	79	3	917	1	3	3	0
382	6	79	4	1195	1	2	2	0
383	6	79	5	1531	1	4	4	0
384	6	80	1	325	1	4	4	0
385	6	80	2	563	1	1	1	0
386	6	80	3	964	1	3	3	0
387	6	80	4	1264	1	2	2	0
388	6	80	5	1604	1	4	4	0
389	6	81	1	243	1	4	4	0
390	6	81	2	459	1	1	1	0
391	6	81	3	853	1	3	3	0
392	6	81	4	1106	1	2	2	0
393	6	81	5	1511	1	4	4	0
394	6	82	1	267	1	4	4	0
395	6	82	2	519	1	1	1	0
396	6	82	3	842	1	3	3	0
397	6	82	4	1313	1	2	2	0
398	6	82	5	1638	1	4	4	0
399	6	83	1	296	1	4	4	0
400	6	83	2	490	1	1	1	0
401	6	83	3	815	1	3	3	0
402	6	83	4	1212	1	2	2	0
403	6	83	5	1636	1	4	4	0
404	6	84	1	293	1	4	4	0
405	6	84	2	574	1	1	1	0
406	6	84	3	936	1	3	3	0
407	6	84	4	1243	1	2	2	0
408	6	84	5	1654	1	4	4	0
409	6	85	1	269	1	4	4	0
410	6	85	2	527	1	1	1	0
411	6	85	3	913	1	3	3	0
412	6	85	4	1315	1	2	2	0
413	6	85	5	1741	1	4	4	0
414	6	86	1	205	1	4	4	0
415	6	86	2	551	1	1	1	0
416	6	86	3	932	1	3	3	0
417	6	86	4	1283	1	2	2	0
418	6	86	5	1667	1	4	4	0
419	6	87	1	235	1	4	4	0
420	6	87	2	532	1	1	1	0
421	6	87	3	960	1	3	3	0
